test_point_id,mode,config,sm_split,size_regime,is_anchor,k0_bytes,k1_bytes,large_kernel_id,large_kernel_path,reuse_N,blocks_k0,blocks_k1,threads_per_block,trials,plateau_reached,wall_ms_median,agg_GBps_median,k0_GBps_median,k1_GBps_median,delta_vs_cached_pct,l2_hit_rate_zc,l2_hit_rate_cached,gpu_clock_mhz,power_mode,soc_temp_c,cuda_version,driver_version
asym_03,asymmetric,shared,0:0,dram,0,1048576,4816896,1,cached,16,512,4096,256,10,0,1.536286,183.262,44.665,158.553,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_03,asymmetric,shared,0:0,dram,0,1048576,4816896,1,cached,32,512,4096,256,10,0,3.026986,186.022,47.204,159.505,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_03,asymmetric,shared,0:0,dram,0,1048576,4816896,1,zerocopy,1,512,1024,256,10,0,0.119889,146.773,91.446,168.533,-0.147,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_03,asymmetric,shared,0:0,dram,0,1048576,4816896,1,zerocopy,2,512,1024,256,10,0,0.213602,164.759,48.974,162.821,1.191,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_03,asymmetric,shared,0:0,dram,0,1048576,4816896,1,zerocopy,4,512,1024,256,10,0,0.406531,173.137,39.677,158.527,0.571,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_03,asymmetric,shared,0:0,dram,0,1048576,4816896,1,zerocopy,8,512,1024,256,10,0,0.777815,180.983,41.215,159.366,1.031,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_03,asymmetric,shared,0:0,dram,0,1048576,4816896,1,zerocopy,16,512,1024,256,10,0,1.533486,183.596,41.765,158.900,0.183,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_03,asymmetric,shared,0:0,dram,0,1048576,4816896,1,zerocopy,32,512,1024,256,10,0,3.124811,180.198,40.996,154.971,-3.131,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_04,asymmetric,shared,0:0,dram,0,1048576,8429568,1,cached,1,1024,4096,256,10,1,0.176689,160.929,81.920,175.948,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_04,asymmetric,shared,0:0,dram,0,1048576,8429568,1,cached,2,1024,4096,256,10,1,0.328323,173.210,33.568,172.728,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_04,asymmetric,shared,0:0,dram,0,1048576,8429568,1,cached,4,1024,4096,256,10,1,0.643494,176.750,25.186,168.291,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_04,asymmetric,shared,0:0,dram,0,1048576,8429568,1,cached,8,1024,4096,256,10,1,1.235867,184.061,26.288,170.757,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_04,asymmetric,shared,0:0,dram,0,1048576,8429568,1,cached,16,1024,4096,256,10,1,2.437030,186.683,28.847,171.550,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_04,asymmetric,shared,0:0,dram,0,1048576,8429568,1,cached,32,1024,4096,256,10,1,4.850011,187.608,28.989,171.338,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_04,asymmetric,shared,0:0,dram,0,1048576,8429568,1,zerocopy,1,1024,2048,256,10,1,0.176530,161.075,91.916,175.733,0.091,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_04,asymmetric,shared,0:0,dram,0,1048576,8429568,1,zerocopy,2,1024,2048,256,10,1,0.327219,173.795,34.532,173.296,0.337,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_04,asymmetric,shared,0:0,dram,0,1048576,8429568,1,zerocopy,4,1024,2048,256,10,1,0.631717,180.045,25.881,171.547,1.864,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_04,asymmetric,shared,0:0,dram,0,1048576,8429568,1,zerocopy,8,1024,2048,256,10,1,1.232683,184.537,26.453,171.451,0.258,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_04,asymmetric,shared,0:0,dram,0,1048576,8429568,1,zerocopy,16,1024,2048,256,10,1,2.432453,187.034,28.963,171.902,0.188,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_04,asymmetric,shared,0:0,dram,0,1048576,8429568,1,zerocopy,32,1024,2048,256,10,1,4.832619,188.283,29.136,172.076,0.360,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_05,asymmetric,shared,0:0,dram,0,1048576,14751744,1,cached,1,512,4096,256,10,1,0.274755,172.521,83.663,184.557,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_05,asymmetric,shared,0:0,dram,0,1048576,14751744,1,cached,2,512,4096,256,10,1,0.524805,180.642,21.960,181.243,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_05,asymmetric,shared,0:0,dram,0,1048576,14751744,1,cached,4,512,4096,256,10,1,1.028697,184.315,15.958,179.357,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_05,asymmetric,shared,0:0,dram,0,1048576,14751744,1,cached,8,512,4096,256,10,1,2.024642,187.296,16.211,179.569,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_05,asymmetric,shared,0:0,dram,0,1048576,14751744,1,cached,16,512,4096,256,10,1,4.012387,189.018,17.767,180.052,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_05,asymmetric,shared,0:0,dram,0,1048576,14751744,1,cached,32,512,4096,256,10,1,8.001543,189.567,18.602,180.013,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_05,asymmetric,shared,0:0,dram,0,1048576,14751744,1,zerocopy,1,1024,4096,256,10,1,0.276099,171.681,96.424,182.294,-0.487,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_05,asymmetric,shared,0:0,dram,0,1048576,14751744,1,zerocopy,2,1024,4096,256,10,1,0.526645,180.011,22.360,180.433,-0.349,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_05,asymmetric,shared,0:0,dram,0,1048576,14751744,1,zerocopy,4,1024,4096,256,10,1,1.031257,183.857,15.976,178.803,-0.248,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_05,asymmetric,shared,0:0,dram,0,1048576,14751744,1,zerocopy,8,1024,4096,256,10,1,2.034274,186.409,16.216,178.545,-0.473,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_05,asymmetric,shared,0:0,dram,0,1048576,14751744,1,zerocopy,16,1024,4096,256,10,1,4.033940,188.009,17.709,179.008,-0.534,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_05,asymmetric,shared,0:0,dram,0,1048576,14751744,1,zerocopy,32,1024,4096,256,10,1,8.048296,188.466,17.748,178.881,-0.581,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_06,asymmetric,shared,0:0,dram,0,1048576,25815552,1,cached,1,256,4096,256,10,1,0.447828,179.963,81.411,188.255,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_06,asymmetric,shared,0:0,dram,0,1048576,25815552,1,cached,2,256,4096,256,10,1,0.876279,183.942,13.652,184.904,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_06,asymmetric,shared,0:0,dram,0,1048576,25815552,1,cached,4,256,4096,256,10,1,1.735088,185.794,9.531,183.125,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_06,asymmetric,shared,0:0,dram,0,1048576,25815552,1,cached,8,256,4096,256,10,1,3.437022,187.587,9.625,182.976,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_06,asymmetric,shared,0:0,dram,0,1048576,25815552,1,cached,16,256,4096,256,10,1,6.831292,188.760,11.511,183.537,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_06,asymmetric,shared,0:0,dram,0,1048576,25815552,1,cached,32,256,4096,256,10,1,13.628041,189.239,11.016,183.573,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_06,asymmetric,shared,0:0,dram,0,1048576,25815552,1,zerocopy,1,512,4096,256,10,1,0.447620,180.046,91.149,187.185,0.046,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_06,asymmetric,shared,0:0,dram,0,1048576,25815552,1,zerocopy,2,512,4096,256,10,1,0.877464,183.694,13.718,184.654,-0.135,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_06,asymmetric,shared,0:0,dram,0,1048576,25815552,1,zerocopy,4,512,4096,256,10,1,1.734128,185.897,9.564,183.132,0.055,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_06,asymmetric,shared,0:0,dram,0,1048576,25815552,1,zerocopy,8,512,4096,256,10,1,3.436095,187.637,9.633,183.060,0.027,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_06,asymmetric,shared,0:0,dram,0,1048576,25815552,1,zerocopy,16,512,4096,256,10,1,6.846925,188.330,10.528,183.296,-0.228,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_06,asymmetric,shared,0:0,dram,0,1048576,25815552,1,zerocopy,32,512,4096,256,10,1,13.654601,188.871,10.997,183.276,-0.195,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_0,symmetric,shared,0:0,l1,1,786432,786432,1,cached,1,512,512,256,10,0,0.046064,102.436,110.042,159.412,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_0,symmetric,shared,0:0,l1,1,786432,786432,1,cached,2,512,512,256,10,0,0.066289,142.365,107.987,134.234,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_0,symmetric,shared,0:0,l1,1,786432,786432,1,cached,4,512,512,256,10,0,0.094353,200.040,132.159,148.645,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_0,symmetric,shared,0:0,l1,1,786432,786432,1,cached,8,512,512,256,10,0,0.171329,220.329,149.816,156.245,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_0,symmetric,shared,0:0,l1,1,786432,786432,1,cached,16,512,512,256,10,0,0.316739,238.359,152.272,158.172,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_0,symmetric,shared,0:0,l1,1,786432,786432,1,cached,32,512,512,256,10,0,0.595605,253.515,157.913,161.862,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_0,symmetric,shared,0:0,l1,1,786432,786432,1,zerocopy,1,256,512,256,10,0,0.042065,112.175,127.337,148.645,9.508,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_0,symmetric,shared,0:0,l1,1,786432,786432,1,zerocopy,2,256,512,256,10,0,0.063569,148.456,121.363,133.324,4.278,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_0,symmetric,shared,0:0,l1,1,786432,786432,1,zerocopy,4,256,512,256,10,0,0.108097,174.606,142.435,139.142,-12.715,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_0,symmetric,shared,0:0,l1,1,786432,786432,1,zerocopy,8,256,512,256,10,0,0.185138,203.896,155.791,140.870,-7.459,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_0,symmetric,shared,0:0,l1,1,786432,786432,1,zerocopy,16,256,512,256,10,0,0.343619,219.713,159.304,143.040,-7.823,NA,NA,1300,MAXN,54.8,13.2,13.2
