size_per_buffer_bytes,read_footprint_bytes,total_footprint_bytes,reuse_N,blocks,threads_per_block,saturated,trials,time_ms_median,time_ms_min,time_ms_max,time_ms_std,per_launch_ms_median,achieved_GBps_median,gpu_clock_mhz,power_mode,soc_temp_c,cuda_version,driver_version
131072,262144,393216,4,256,256,0,10,0.020976,0.020416,0.025312,0.001363,0.005244,74.984,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,4,512,256,0,10,0.023632,0.022752,0.030752,0.002206,0.005908,66.557,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,4,1024,256,0,10,0.028304,0.026656,0.033696,0.001801,0.007076,55.570,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,8,16,256,0,10,0.042832,0.041440,0.047840,0.001666,0.005354,73.443,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,8,32,256,0,10,0.039024,0.037440,0.043680,0.001630,0.004878,80.610,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,8,64,256,1,10,0.037136,0.035680,0.041664,0.001565,0.004642,84.708,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,8,128,256,0,10,0.038128,0.036896,0.042496,0.001906,0.004766,82.504,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,8,256,256,0,10,0.039152,0.036736,0.042656,0.001636,0.004894,80.347,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,8,512,256,0,10,0.044128,0.042624,0.045408,0.000818,0.005516,71.286,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,8,1024,256,0,10,0.053232,0.051968,0.056704,0.001313,0.006654,59.095,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,16,16,256,0,10,0.082256,0.081280,0.089184,0.002187,0.005141,76.486,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,16,32,256,0,10,0.074432,0.071520,0.079392,0.002044,0.004652,84.526,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,16,64,256,1,10,0.070432,0.069216,0.081248,0.003895,0.004402,89.327,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,16,128,256,0,10,0.071872,0.070336,0.076576,0.001720,0.004492,87.537,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,16,256,256,0,10,0.074784,0.071776,0.076960,0.001396,0.004674,84.128,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,16,512,256,0,10,0.084480,0.083168,0.086752,0.000984,0.005280,74.473,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,16,1024,256,0,10,0.104048,0.102848,0.111040,0.002190,0.006503,60.467,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,32,16,256,0,10,0.161072,0.159296,0.164544,0.001528,0.005034,78.120,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,32,32,256,0,10,0.144512,0.142016,0.148928,0.002022,0.004516,87.072,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,32,64,256,1,10,0.136480,0.132832,0.144608,0.003131,0.004265,92.196,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,32,128,256,0,10,0.139520,0.138336,0.144768,0.001860,0.004360,90.187,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,32,256,256,0,10,0.145088,0.144096,0.148704,0.001532,0.004534,86.726,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,32,512,256,0,10,0.164032,0.162816,0.166112,0.001147,0.005126,76.710,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,32,1024,256,0,10,0.202944,0.200064,0.207680,0.001903,0.006342,62.002,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,1,16,256,0,10,0.010224,0.009216,0.016064,0.001915,0.010224,76.920,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,1,32,256,0,10,0.008720,0.008352,0.013216,0.001413,0.008720,90.187,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,1,64,256,1,10,0.008064,0.007744,0.013184,0.001603,0.008064,97.524,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,1,128,256,0,10,0.008368,0.007872,0.013440,0.001623,0.008368,93.981,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,1,256,256,0,10,0.008592,0.008000,0.013152,0.001415,0.008592,91.531,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,1,512,256,0,10,0.009072,0.008736,0.013376,0.001324,0.009072,86.688,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,1,1024,256,0,10,0.010192,0.009728,0.012352,0.000748,0.010192,77.162,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,2,16,256,0,10,0.017088,0.016576,0.019968,0.000914,0.008544,92.045,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,2,32,256,0,10,0.013552,0.013120,0.018592,0.001533,0.006776,116.061,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,2,64,256,1,10,0.012896,0.012320,0.017408,0.001385,0.006448,121.965,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,2,128,256,0,10,0.013456,0.012320,0.018400,0.001609,0.006728,116.889,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,2,256,256,0,10,0.013360,0.011936,0.018688,0.001729,0.006680,117.729,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,2,512,256,0,10,0.014192,0.013952,0.019040,0.001450,0.007096,110.828,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,2,1024,256,0,10,0.016864,0.016000,0.021664,0.001522,0.008432,93.268,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,4,16,256,0,10,0.030496,0.029472,0.039648,0.002865,0.007624,103.152,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,4,32,256,0,10,0.024192,0.023616,0.029984,0.001795,0.006048,130.032,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,4,64,256,1,10,0.022896,0.022048,0.026784,0.001243,0.005724,137.392,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,4,128,256,1,10,0.022976,0.021952,0.025600,0.000967,0.005744,136.914,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,4,256,256,1,10,0.022976,0.021248,0.027584,0.001579,0.005744,136.914,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,4,512,256,0,10,0.024528,0.023616,0.026912,0.001069,0.006132,128.250,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,4,1024,256,0,10,0.029984,0.028992,0.035456,0.001751,0.007496,104.914,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,8,16,256,0,10,0.057248,0.055936,0.058976,0.001020,0.007156,109.898,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,8,32,256,0,10,0.045008,0.044384,0.048512,0.001181,0.005626,139.785,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,8,64,256,1,10,0.041216,0.039840,0.046688,0.001966,0.005152,152.646,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,8,128,256,0,10,0.042144,0.041088,0.046784,0.001573,0.005268,149.285,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,8,256,256,0,10,0.042352,0.041472,0.047872,0.001774,0.005294,148.552,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,8,512,256,0,10,0.046288,0.044928,0.052544,0.002062,0.005786,135.920,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,8,1024,256,0,10,0.056912,0.055744,0.063360,0.002098,0.007114,110.547,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,16,16,256,0,10,0.110944,0.107712,0.117248,0.002404,0.006934,113.417,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,16,32,256,0,10,0.087840,0.084544,0.090176,0.001578,0.005490,143.248,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,16,64,256,1,10,0.079696,0.078272,0.088416,0.002752,0.004981,157.886,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,16,128,256,1,10,0.079888,0.078464,0.089600,0.003004,0.004993,157.507,1300,MAXN,53.0,13.2,13.2
