mode,reuse_N,k0_bytes,k1_bytes,combined_read_footprint_bytes,blocks_k0,blocks_k1,threads_per_block,trials,wall_ms_median,agg_GBps_median,k0_GBps_median,k1_GBps_median,single_k0_GBps_ref,single_k1_GBps_ref,scaling_efficiency,gpu_clock_mhz,power_mode,soc_temp_c,cuda_version,driver_version
symmetric,32,917504,917504,3670016,128,256,256,10,0.889200,198.112,108.431,99.056,270.437,270.437,0.366280,1300,MAXN,55.2,13.2,13.2
symmetric,1,983040,983040,3932160,128,256,256,10,0.039920,147.752,78.568,73.876,270.437,270.437,0.273172,1300,MAXN,55.2,13.2,13.2
symmetric,2,983040,983040,3932160,128,256,256,10,0.074416,158.521,81.775,79.260,270.437,270.437,0.293083,1300,MAXN,55.2,13.2,13.2
symmetric,4,983040,983040,3932160,128,256,256,10,0.140640,167.754,85.136,83.877,270.437,270.437,0.310154,1300,MAXN,55.2,13.2,13.2
symmetric,8,983040,983040,3932160,128,256,256,10,0.263136,179.321,93.510,89.661,270.437,270.437,0.331540,1300,MAXN,55.2,13.2,13.2
symmetric,16,983040,983040,3932160,128,256,256,10,0.486960,193.798,104.616,96.899,270.437,270.437,0.358305,1300,MAXN,55.2,13.2,13.2
symmetric,32,983040,983040,3932160,128,256,256,10,0.929024,203.163,111.498,101.582,270.437,270.437,0.375621,1300,MAXN,55.2,13.2,13.2
symmetric,1,1048576,1048576,4194304,128,256,256,10,0.042336,148.608,78.361,74.304,270.437,270.437,0.274755,1300,MAXN,55.2,13.2,13.2
symmetric,2,1048576,1048576,4194304,128,256,256,10,0.079072,159.132,82.057,79.566,270.437,270.437,0.294213,1300,MAXN,55.2,13.2,13.2
symmetric,4,1048576,1048576,4194304,128,256,256,10,0.148784,169.143,86.203,84.572,270.437,270.437,0.312722,1300,MAXN,55.2,13.2,13.2
symmetric,8,1048576,1048576,4194304,128,256,256,10,0.278672,180.612,94.342,90.306,270.437,270.437,0.333927,1300,MAXN,55.2,13.2,13.2
symmetric,16,1048576,1048576,4194304,128,256,256,10,0.538048,187.090,99.586,93.545,270.437,270.437,0.345903,1300,MAXN,55.2,13.2,13.2
symmetric,32,1048576,1048576,4194304,128,256,256,10,1.012080,198.924,108.873,99.462,270.437,270.437,0.367782,1300,MAXN,55.2,13.2,13.2
symmetric,1,1310720,1310720,5242880,256,256,256,10,0.050416,155.989,87.335,77.994,270.437,270.437,0.288401,1300,MAXN,55.2,13.2,13.2
symmetric,2,1310720,1310720,5242880,256,256,256,10,0.091248,172.372,92.062,86.186,270.437,270.437,0.318692,1300,MAXN,55.2,13.2,13.2
symmetric,4,1310720,1310720,5242880,256,256,256,10,0.174080,180.706,93.641,90.353,270.437,270.437,0.334100,1300,MAXN,55.2,13.2,13.2
symmetric,8,1310720,1310720,5242880,256,256,256,10,0.325360,193.369,102.293,96.685,270.437,270.437,0.357512,1300,MAXN,55.2,13.2,13.2
symmetric,16,1310720,1310720,5242880,256,256,256,10,0.646384,194.666,102.047,97.333,270.437,270.437,0.359910,1300,MAXN,55.2,13.2,13.2
symmetric,32,1310720,1310720,5242880,256,256,256,10,1.250240,201.288,107.254,100.644,270.437,270.437,0.372153,1300,MAXN,55.2,13.2,13.2
symmetric,1,1572864,1572864,6291456,128,128,256,10,0.058816,160.453,87.355,80.226,270.437,270.437,0.296654,1300,MAXN,55.2,13.2,13.2
symmetric,2,1572864,1572864,6291456,128,128,256,10,0.109152,172.918,92.232,86.459,270.437,270.437,0.319701,1300,MAXN,55.2,13.2,13.2
symmetric,4,1572864,1572864,6291456,128,128,256,10,0.209376,180.292,92.842,90.146,270.437,270.437,0.333334,1300,MAXN,55.2,13.2,13.2
symmetric,8,1572864,1572864,6291456,128,128,256,10,0.415072,181.890,93.304,90.945,270.437,270.437,0.336289,1300,MAXN,55.2,13.2,13.2
symmetric,16,1572864,1572864,6291456,128,128,256,10,0.812832,185.764,96.229,92.882,270.437,270.437,0.343452,1300,MAXN,55.2,13.2,13.2
symmetric,32,1572864,1572864,6291456,128,128,256,10,1.629008,185.383,97.144,92.691,270.437,270.437,0.342747,1300,MAXN,55.2,13.2,13.2
symmetric,1,2097152,2097152,8388608,1024,1024,256,10,0.075088,167.576,120.434,83.788,153.360,153.360,0.546347,1300,MAXN,55.2,13.2,13.2
symmetric,2,2097152,2097152,8388608,1024,1024,256,10,0.141808,177.464,105.434,88.732,153.360,153.360,0.578587,1300,MAXN,55.2,13.2,13.2
symmetric,4,2097152,2097152,8388608,1024,1024,256,10,0.277456,181.404,99.009,90.702,153.360,153.360,0.591432,1300,MAXN,55.2,13.2,13.2
symmetric,8,2097152,2097152,8388608,1024,1024,256,10,0.547520,183.853,95.839,91.927,153.360,153.360,0.599417,1300,MAXN,55.2,13.2,13.2
symmetric,16,2097152,2097152,8388608,1024,1024,256,10,1.101376,182.796,96.810,91.398,153.360,153.360,0.595969,1300,MAXN,55.2,13.2,13.2
symmetric,32,2097152,2097152,8388608,1024,1024,256,10,2.197616,183.223,95.944,91.611,153.360,153.360,0.597361,1300,MAXN,55.2,13.2,13.2
symmetric,1,3145728,3145728,12582912,1024,512,256,10,0.108384,174.143,131.452,87.072,164.709,164.709,0.528640,1300,MAXN,55.2,13.2,13.2
symmetric,2,3145728,3145728,12582912,1024,512,256,10,0.207040,182.326,110.444,91.163,164.709,164.709,0.553479,1300,MAXN,55.2,13.2,13.2
symmetric,4,3145728,3145728,12582912,1024,512,256,10,0.404848,186.484,101.935,93.242,164.709,164.709,0.566100,1300,MAXN,55.2,13.2,13.2
symmetric,8,3145728,3145728,12582912,1024,512,256,10,0.801792,188.322,98.384,94.161,164.709,164.709,0.571680,1300,MAXN,55.2,13.2,13.2
symmetric,16,3145728,3145728,12582912,1024,512,256,10,1.604496,188.215,96.573,94.107,164.709,164.709,0.571356,1300,MAXN,55.2,13.2,13.2
symmetric,32,3145728,3145728,12582912,1024,512,256,10,3.206928,188.336,96.927,94.168,164.709,164.709,0.571723,1300,MAXN,55.2,13.2,13.2
symmetric,1,4194304,4194304,16777216,1024,1024,256,10,0.139888,179.900,142.392,89.950,170.371,170.371,0.527965,1300,MAXN,55.2,13.2,13.2
symmetric,2,4194304,4194304,16777216,1024,1024,256,10,0.272432,184.749,113.720,92.375,170.371,170.371,0.542197,1300,MAXN,55.2,13.2,13.2
symmetric,4,4194304,4194304,16777216,1024,1024,256,10,0.537248,187.368,103.543,93.684,170.371,170.371,0.549883,1300,MAXN,55.2,13.2,13.2
symmetric,8,4194304,4194304,16777216,1024,1024,256,10,1.067552,188.587,99.167,94.294,170.371,170.371,0.553460,1300,MAXN,55.2,13.2,13.2
symmetric,16,4194304,4194304,16777216,1024,1024,256,10,2.133904,188.693,96.774,94.347,170.371,170.371,0.553771,1300,MAXN,55.2,13.2,13.2
symmetric,32,4194304,4194304,16777216,1024,1024,256,10,4.279168,188.192,96.887,94.096,170.371,170.371,0.552301,1300,MAXN,55.2,13.2,13.2
symmetric,1,6291456,6291456,25165824,1024,1024,256,10,0.205952,183.289,151.801,91.645,176.726,176.726,0.518568,1300,MAXN,55.2,13.2,13.2
symmetric,2,6291456,6291456,25165824,1024,1024,256,10,0.403424,187.142,116.976,93.571,176.726,176.726,0.529469,1300,MAXN,55.2,13.2,13.2
symmetric,4,6291456,6291456,25165824,1024,1024,256,10,0.799904,188.766,105.229,94.383,176.726,176.726,0.534065,1300,MAXN,55.2,13.2,13.2
symmetric,8,6291456,6291456,25165824,1024,1024,256,10,1.593376,189.528,100.032,94.764,176.726,176.726,0.536221,1300,MAXN,55.2,13.2,13.2
symmetric,16,6291456,6291456,25165824,1024,1024,256,10,3.184784,189.645,97.317,94.823,176.726,176.726,0.536552,1300,MAXN,55.2,13.2,13.2
symmetric,32,6291456,6291456,25165824,1024,1024,256,10,6.379088,189.362,97.402,94.681,176.726,176.726,0.535751,1300,MAXN,55.2,13.2,13.2
symmetric,1,12582912,12582912,50331648,1024,1024,256,10,0.403216,187.238,166.841,93.619,183.774,183.774,0.509425,1300,MAXN,55.2,13.2,13.2
symmetric,2,12582912,12582912,50331648,1024,1024,256,10,0.796944,189.467,121.052,94.734,183.774,183.774,0.515490,1300,MAXN,55.2,13.2,13.2
